id,sentence,rhetoricalRole,relevance
165,"It would thus be seen that in dealing with the question as to whether respondent number 2, while it exercises its appellate power under Rule 6(6), is a tribunal under article  136(1), we must enquire (1) [1964] INSC 26; [1964] 6 S. CR. 594. 382 whether respondent number 2 has been clothed with the State's inherent judicial power to deal with disputes between parties and determine them on the merits fairly and objectively.",Ruling by Present Court,0
166,That is the test which has been consistently applied by this Court in considering the question about the status of any body or authority as a tribunal under article  136(1).,Ruling by Present Court,1
167,"Before we proceed to apply this test to respondent number 2's status under R.  6(6), we think it is necessary to advert to one aspect of the matter which sometimes creates some confusion.",Ruling by Present Court,0
168,"We have referred to the three essential attributes of a sovereign State and indicated that one of these attributes is the legislative power and legislative function of the State, and we have also seen that in determining the status of an authority dealing with disputes, we have to enquire whether the power conferred on the said authority or body can be said to be judicial power conferred on it by the State by means of a statute or statutory rule.",Ruling by Present Court,0
169,"The use of the expression ""judicial power"" in this context proceeds on the well-recognised concept of political science that along with legislative and executive powers, judicial power vests in a sovereign State.",Ruling by Present Court,0
170,"In countries where rigid separation of powers has been effected by written Constitutions, the position is very different.",Ruling by Present Court,0
171,"Take, for instance, the Australian Constitution.",Ruling by Present Court,0
172,Section 71 of the Commonwealth of Australia Constitution Act (63 & 64 Viet.,Ruling by Present Court,0
173,"Chapter 12) provides that the judicial power of the Commonwealth shall be vested in a Federal Supreme Court, to be called the High Court of Australia, and in such other federal courts as the Parliament creates, and in such other courts as it invests with federal jurisdiction.",Ruling by Present Court,0
174,"The High Court shall consist of a Chief Justice, and so many other Justices, not less than two, as the Parliament prescribes.",Ruling by Present Court,0
175,"It is clear that the scheme of sections 71 to 80 which form part of Chapter III of the said Constitution, is that the judicial power of the State can be conferred only on courts recognised by the provisions of the said Chapter.",Ruling by Present Court,0
176,"In other words, it is not competent to the Legislature in Australia to confer judicial power properly so-called on any body or authority other than or apart from the courts recognised by Ch. 111; and so, the use of the expression ""judicial power"" or its conferment in regard to tribunals which are not courts properly so-called, would under the Australian Constitution be wholly inappropriate.",Ruling by Present Court,0
177,"If any tribunals other than courts are established and power is given to them to      383 This technical aspect of the matter which is present under the Constitutions based on rigid separation of powers, should not be ignored when we are dealing with the question posed under article 136(1) of our Constitution.",Ruling by Present Court,0
178,"Under our Constitution, there is no rigid separation of powers as under the Australian Constitution; and so, it would not be constitutionally inappropriate or improper to say that judicial power of the State can be conferred on the hierarchy of courts established under the Constitution as well as on tribunals which are not courts strictly so called.",Ruling by Present Court,0
179,"Indeed, the fact that article 136(1) refers to courts and tribunals and makes the determination, sentence or order passed by them subject to appeal to this Court by special leave, shows that our Constitution assumes that judicial power of the State can be vested in and exercised by both courts and tribunals alike.",Ruling by Present Court,0
180,"We have already seen that the function discharged by courts and tribunals mentioned in article 136(1) is essentially the same, though the nature of the questions entrusted to their jurisdiction, the procedure required to be followed by them, and the extent and character of their powers may be different.",Ruling by Present Court,0
181,"As a result of the rigid separation of powers on which the Australian Constitution is based, questions which arise for decision of courts in Australia take a very different form.",Ruling by Present Court,0
182,"Let us refer to the decision of the Privy Council in Shell Company of Australia, limited vs Federal Commissioner of Taxation(1), by way of illustration.",Ruling by Present Court,0
183,"In that case, the Privy Council had to consider whether the Board of Review created by section 41 of the Federal Income-tax Assessment Act, 1922-1925, to review the decisions of the Commissioner of Taxation, and whose members are to hold off~ice for seven years, in a Court exercising the judicial power of the Com monwealth within the meaning of section 71 of the Constitution of Australia.",Ruling by Present Court,0
184,"If the answer had been in the affirmative, the amending section by which the Board of Review was constituted, would have been invalid because of the provisions of section 71 of the Australian Constitution.",Ruling by Present Court,0
185,"The Privy Council however, examined the functions of the Board and its powers and considered the scheme of the relevant provisions of the Taxation Act and came to the conclusion that the Board of Review was not a Court and stood in the same position as the Commissioner.",Ruling by Present Court,0
186,"It was observed that the orders of the Board of Review were not made conclusive for any purpose whatsoever, and that the decisions of the Board were made the equivalent of the decision of the Commissioner.",Ruling by Present Court,0
187,"In dealing with the status of the Board in the context of the require (1) [19311 A. C.  275. 384 ments of S.  71 of the Australian Constitution, Lord Sankey L.  C.  observed that ""the authorities are clear to show that there are tribunals with many of the trappings of a Court which, nevertheless, are not Courts in the strict sense of exercising judicial power"" (page 296).",Ruling by Present Court,0
188,It is in this connection that Lord Sankey referred to certain attributes of Courts which he characterised as trappings.,Ruling by Present Court,0
189,"The negative propositions which he enunciated by reference to these trappings, indicate that the presence of the trappings would not make the Board a Court and would not lead to the inference that the judicatory power exercised by tribunals was judicial power which courts alone can exercise.",Ruling by Present Court,0
190,"It would thus be noticed that the reference to the trappings was intended to show that the presence of the trappings does not alter the character of the tribunal, the decisive test being that judicial power under the Australian Constitution can be conferred only on courts and not on tribunals.",Ruling by Present Court,0
191,"When we refer to tribunals in dealing with the problem posed by article 13 6 ( 1 ), it is necessary to bear in mind the context in which Lord Sankey referred to these trappings.",Ruling by Present Court,0
192,There is another point to which we would like to refer before we part with this topic.,Ruling by Present Court,0
193,"In the Attorney-General for Australia vs The Queen and the Boilermakers' Society of Australia and Others(1) an interesting question arose for the decision of the Court under sections 29(1) (b) & (c) and 29-A of the Commonwealth Conciliation and Arbitration Act, 1904 1952.",Ruling by Present Court,0
194,"These provisions purported to vest judicial power---even to the extent of fining a citizen or depriving him of his liberty-in the Court of Conciliation and Arbitration established under the Act with powers of an administrative, arbitral and executive character.",Ruling by Present Court,0
195,"It was held that the said provisions were invalid, because the function of an industrial arbitrator is completely outside the realms of judicial power and is of a different character.",Ruling by Present Court,0
196,This decision also is based on the doctrine of rigid and strict separation of powers on which the Australian Constitution is based.,Ruling by Present Court,0
197,"Viscount Simonds, who delivered the judgment of their Lordships, has referred to the structure of the Australian Constitution and observed that in the matter of conferring judicial powers, it was not open to the Parliament to turn from Chapter III to some other source of power (page 313).",Ruling by Present Court,0
198,"Indeed, he cited with approval the observations made by Griffith, C.  J.  in Waterside Workers' Federation of Australia vs Alexander (J. W. ) limited ,(2) that it is impossible under the Constitution to confer such functions (i. e. , judicial functions) upon any body other than a court, nor can the difficulty be avoided by designating a body, which is not in its (1) [1957] A. C.  288. (2) [1918] HCA 56; [1918] 25 C. L. R.  434, 442. 385 essential character a court, by that name, or by calling the functions by another name.",Ruling by Present Court,0
199,"In short, any attempt to vest any part of the judicial power of the Commonwealth in any body other than a court is entirely ineffective.",Ruling by Present Court,0
200,"We have referred to these two decisions only for the purpose of emphasising the fact that the technical considerations which flow from the strict and rigid separation of powers, would not be applicable in dealing with the question about the status of respondent number 2 by reference to article 136(1) of our Constitution.",Ruling by Present Court,0
201,"The use of the expression ""judicial power"" in the context, cannot be characterised as constitutionally impermissible or inappropriate, because our Constitution does not provide, as does Chapter HI of the Australian Constitution, that judicial power can be con ferred only on courts properly so-called.",Ruling by Present Court,0
202,"If such a consideration was relevant and material, then it would no doubt, be inappropriate to say that certain authorities or bodies which are given the power to deal with disputes between parties and finally determine them, are tribunals because the judicial power of the State has been statutorily transferred to them.",Ruling by Present Court,0
203,"In that case, the more appropriate expression to use would be that the powers which they exer cise are quasi-judicial in character, and tribunals appointed under such a scheme of rigid separation of powers cannot be held to discharge the same judicial function as the courts.",Ruling by Present Court,0
204,"However, these considerations are, strictly speaking, inapplicable to the Indian Constitution, because though it is based on a broad separation of powers, there is no rigidity or exclusiveness involved in it as under section 71 as well as other provisions of Ch.",Ruling by Present Court,0
205,"III of the Australian Constitution; and so, it would not be inappropriate to say that the main test in determining the status of any authority in the context of article 136(1) is whether or not inherent judicial power of the State has been transferred to it.",Ruling by Present Court,0
206,Let us then examine the scheme of the Rules.,Ruling by Present Court,0
207,"R.  6 as we have already seen, prescribes the conditions of service of Welfare Officers.",Ruling by Present Court,0
208,"Reading the second proviso to R.  6(3) and R.  6(4) together, it appears that if the management wants to impose any punishment other than censure, it is required to secure the previous concurrence of the Labour Commissioner;  and when an application is made to the Labour Commissioner for obtaining his concurrence, he has to give the Welfare Officer an opportunity of showing cause against the action proposed to be taken against him and if necessary, he has to hear the parties in person.",Ruling by Present Court,0
209,This provision imposes a limitation on the power of the management to subject the Welfare Officer to the punishments to which it applies.,Ruling by Present Court,0
210,386 .,Facts,1
211,"In the present case, we are not called upon to consider whether the Labour Commissioner exercising his power under R.  6(4) is a tribunal or not; for the purpose of the present appeal, we will assume that he is not a tribunal under article  136(1).",Ruling by Present Court,0
212,"Rule 6(5) deals with a case where the Labour Commissioner refuses to give his concurrence, and in that case, it confers on the management the right to make an appeal to the State Government within the time prescribed by it.",Ruling by Present Court,0
213,It provides that the appellate decision of the State Government would be final and binding.,Ruling by Present Court,1
214,"Similarly, R.  6(6) enables the Welfare Officer upon whom the punishment mentioned in clause   (v) of sub-rule 3 is imposed without obtaining the concurrence of the Labour Commissioner to appeal to the State Government, and it provides that the appellate decision of the State Government in such a case would also be final and binding.",Ruling by Present Court,0
215,"The question which we have to decide in the present appeal is whether the State Government is a tribunal when it exercises its authority under R.  6(5) or R.  6(6), No rules have been made prescribing the procedure which the State Government should follow in dealing with appeals under these two sub-rules, and there is no statutory provision conferring on the State Government any specific powers which are usually associated with the trial in courts and which are intended to help the court in reaching its decisions.",Ruling by Present Court,0
216,"The requirements of procedure which is followed in courts and the possession of subsidiary powers which are given to courts to try the cases before them, are described as trappings of the courts, and so, it may be conceded that these trappings are not shown to exist in the case of the State Government which hears appeals under R.  6(5) and R.   6(6).",Ruling by Present Court,0
217,"But as we already stated, the consideration about the presence of all or some of the trappings of a court is really not decisive.",Ruling by Present Court,1
218,"The presence of some of the trappings may assist the determination of the question as to whether the power exercised by the authority which possesses the said trappings, is the judicial power of the State or not.",Ruling by Present Court,1
219,"The main and the basic test however, is whether the adjudicating power which a particular authority is empowered to exercise, has been conferred on it by a statute and can be described as a part of the State's inherent power exercised in discharging its judicial function.",Ruling by Present Court,1
220,"Applying this test, there can be no doubt that the power which the State Government exercises under R.  6(5) and R.  6(6) is a part of the State's judicial power.",Ruling by Present Court,1
221,"It has been conferred on the State ;Government by a statutory Rule and it can be exercised in respect ,of disputes between the management and its Welfare Officers.",Ruling by Present Court,1
222,"There 387 is, in that sense, a lis; there is affirmation by one party and denial by another, and the dispute necessarily involves the rights and obligations of the parties to it.",Argument,1
223,The order which the State Government ultimately passes is described as its decision and it is made final and binding.,Argument,1
224,"Besides, it is an order passed on appeal.",Argument,1
225,"Having regard to these distinctive features of the power conferred on the State Government by R.  6(5) and R.  6(6), we feel no hesitation in holding that it is a Tribunal within the meaning of article  136(1).",Argument,1
226,"In this connection, we may usefully recall the observation made by Lord Haldane in Local Government Board vs   Arlidge(1).",Argument,0
227,"Said Lord Haldane ""My Lords, when the duty of deciding an appeal is imposed, those whose duty it is to decide it must act judicially.",Argument,0
228,"They must deal with the question referred to them without bias, and they must give to each of the parties the opportunity of adequately presenting the case made.",Argument,0
229,The decision must be come to in the spirit and with the sense of responsibility of a tri bunal whose duty it is to mete out justice.,Argument,0
230,"But it does not follow that the procedure of every such tribunal must be the same. """,Argument,0
231,"Having regard to the nature of the power conferred on the State Government, it seems to us clear that for reaching a fair and objective decision in the dispute brought before it in its appellate jurisdiction, the State Government has the power to devise its own procedure and to exercise such other incidental and subsidiary powers as may be necessary to deal effectively with the dispute.",Argument,1
232,"We are, therefore, satisfied that the State Government which exercises its appellate jurisdiction under R.  6(5) and R.  6(6) of the Rules is a Tribunal within the meaning of article 136(1); and so, the present appeal brought before this Court against the impugned appellate order passed by respondent number 2, is competent.",Argument,0
233,"In the result, the preliminary objection raised by Mr.  Goyal fails and must be rejected.",Argument,0
234,That takes us to the merits of the impugned appellate order.,Argument,0
235,Mr.  Setalvad for the appellant contends that the impugned order is bad for two reasons.,Argument,0
236,"He argues that the relevant Rule which requires the concurrence of the Labour Commissioner before the management can dismiss or terminate the services of a Welfare Officer, is invalid inasmuch as it is outside the scope of the authority conferred on the State Government by section 49(2) of the Act.",Argument,1
237,"He also argues that the impugned order is invalid for the reason that in the circumstances of this case, the appeal preferred by res (1) [1915] A. C.  120, 132. 388 pondent number 1 before respondent number 2 was incompetent under rule 6(6).",Argument,0
238,Let us first examine the contention about the invalidity of the Rule itself.,Argument,0
239,"We have noticed that S.  49(2) of the Act confers on the State Government authority to prescribe the duties, qualifications and conditions of service of officers employed under subsection (1); so that there can be no doubt that the State Government would be competent to make Rules which prescribe the conditions of service of Welfare Officers.",Argument,0
240,The question is whether R.  6 which purports to prescribe such conditions of service is ultra vires S.  49(2) of the Act inasmuch as it imposes on the management the obligation to secure the concurrence of the Labour Com missioner before inflicting on the Welfare Officer the punishments to which the second proviso to R.  6(3) refers.,Argument,0
241,"In our opinion, the words ""conditions of service"" used in section   49(2) are wide enough to cover the proviso in question and sub-rules (4), (5) and (6) of Rule 6.",Argument,1
242,"Under what circumstances an employee's services can be terminated and subject to what conditions, can well be the subjectmatter of a contract of employment, because conditions of service would take in the termination of services and incidentally, the conditions subject to which such termination could be brought about.",Argument,1
243,"If that be so, we see no reason why a statutory rule imposing the obligation on the management as prescribed by the second proviso in question should be said to fall outside S.  49(2) of the Act.",Argument,1
244,"The object of conferring on the State Government the power to frame Rules in that behalf obviously is to afford special protection to Welfare Officers appointed under section 49(1), and if respondent number 2 thought that the best way to assure security of tenure to ,such officers was to require that they should not be dismissed or otherwise punished without obtaining the consent of the Labour Commissioner as required by the second proviso to R.  6(3), it would be difficult to hold that a Rule made by respondent number 2 in that behalf is not justified by the power conferred on it by section 49(2).",Argument,0
245,"Therefore, we are not impressed by Mr.  Setalvad's argument that the Rule in question is ultra vires or invalid.",Argument,0
246,"Mr.  Setalvad, however, is right in contending that the appeal preferred by respondent number 1 before respondent number 2 was incompetent.",Argument,0
247,"Rule 6(6) no doubt enables a Welfare Officer to make an appeal to the State Government if punishment has been imposed upon him contrary to the requirements of the proviso to R.  6(3), without obtaining the concurrence of the Labour Commissioner.",Argument,0
248,"The scheme of the relevant Rules appears to be that if the manage 389 ment applies for concurrence, and the concurrence is not given by the Labour Commissioner, the management can appeal under rule 6(5).",Argument,1
249,"If the concurrence is given, or if a welfare officer is dismissed without applying for concurrence, he may make an appeal under rule 6(6); but before such an appeal can be competent, it must appear that the punishment mentioned in clause (v) of subrule 3 of R.  6 has been imposed, upon him.",Argument,1
250,"In the present case, it is difficult to hold that any such punishment has been imposed upon respondent number 1.",Argument,0
251,All that the appellant has done in the present case is to terminate the services of respondent number   1 by virtue of clause 4 of his terms of appointment.,Argument,0
252,"When respondent number 1 was appointed a Welfare Officer by the appellant, the terms of his employment were communicated to him by a letter dated March 2, 1956.",Argument,0
253,"Clause 4 of this communication expressly provided that during the period of probation, the appellant could terminate respondent number 1's services without notice, and after confirmation, with one month's notice or one month's salary in lieu of notice.",Argument,1
254,"The order terminating his services specifically refers to an earlier letter addressed to him on September 23, 1961.",Argument,0
255,"In this letter, the appellant expressly informed respondent number   1 that if he did not proceed to Kymore Cement Works within the time allowed to him, his services would stand terminated from September 26, 1961, and he would be paid his salary up to the 25th September, 1961, as well as one month's salary in lieu of notice and other dues as per Company's rules.",Argument,0
256,It is thus clear that in terminating the services of respondent number 1 the appellant was merely exercising its right to put an end to respondent number 1's services with one month's salary in lieu of notice; and such an order cannot be said to amount to any punishment at all; it is an order of discharge served by the employer on his employee strictly within the terms of the employee's conditions of service.,Argument,0
257,"There is no doubt that when rule 6(3) (v) refers to dismissal or termination of service in any other manner, it takes in dismissal or termination of service which is in the nature of a punitive termination of service.",Argument,1
258,"rule 6(3) makes it clear that clauses (i) to (v) refer to punishments which could be imposed on Welfare Officers by the management; and so, before rule 6 (3) (v) can be invoked by respondent number 1, it must be shown that the termination of his services was in the nature of a punishment.",Argument,0
259,"The termination of respondent number 1's services in terms of clause 4 of his conditions of service is no more than a discharge, and as such is not a punishment; and so, it is outside rule 6(3) altogether.",Argument,1
260,"Therefore, we are satisfied that the appeal preferred by respondent number 1 before respondent number 2 was not competent under rule 6(6).",Argument,0
261,390 My.,Argument,0
262,"Goyal no doubt attempted to argue that though in form the order terminating respondent number 1's services purported to be an order of discharge under clause 4 of his conditions of service, in substance it is an order of dismissal; and in support of this argument, he referred us to the fact that before the impugned order was passed, considerable correspondence passed between the parties, and it appears that the appellant had transferred respondent number 1 to Kymore, and respondent number 1 apparently did not obey the said order of transfer.",Argument,0
263,"We have not thought it necessary to refer to this correspondence, because, in our opinion, it is not possible to entertain Mr.  Goyal's contention that the order of discharge in the present case in substance amounts to an order of dismissal.",Argument,0
264,It is true that the form in which the impugned order has been passed will not necessarily determine the character of the termination of respondent number   1's services.,Argument,1
265,"If respondent number 1 had proved that the impugned order amounts to his punishment, that no doubt would have been a legitimate plea on which the competence of the appeal to respondent number 2 could have been sustained;  but beyond making a vague allegation that the impugned order had been passed not bona fide, but for ulterior purpose, no attempt has been made to suggest, much less to prove, that the appellant was actuated by any improper motive in terminating his services.",Argument,0
266,"It does appear that when the appellant found that respondent number 1 was not willing to go to Kymore Cement Works where he had been transferred, it deliberately chose not to punish him, but to pass a simple order of discharge.",Argument,0
267,"In such cases, it is no doubt open to the Court to consider the substance of the matter and not to treat the form in which the order terminating the services of an employee has been passed, conclusive.",Argument,0
268,"But cases may occur in which it would be safe to conclude that the order of discharge is a bona fide order of discharge and that the employer passed such an order, because it was not its intention to cast any slur on its employee, even though it thought it necessary to terminate his services.",Argument,0
269,"In our opinion, the present case falls under this category.",Ratio of the decision,0
270,"Therefore, we are not impressed by the argument that the impugned order amounts to a termination of service in any other manner contemplated by Rule 6(3) (v).",Ratio of the decision,0
271,"The result is, the appeal is allowed, and the impugned order passed by respondent number 2 is set aside on the that it has been passed without Jurisdiction.",Ratio of the decision,0
272,Parties to bear their own costs.,Ratio of the decision,0
273,"Bachawat, J. -I agree with the conclusions of the learned Chief Justice and the order proposed by him, and will add a few words of my own.",Argument,0
274,The preliminary objection as to the maintainability 391 of the appeal raises important questions of interpretation of article 136 of the Constitution.,Argument,0
275,"In what sense did the Constitution makers use the word ""tribunal"" in that Article ?",Argument,0
276,By what sign or distinctive attribute are we to recognise a tribunal ?,Argument,0
277,"In Royal Acquarium & Summer & Winter-Garden Society limited vs Parkinson (1), Fry, L.  J.  said that this word has not, like the word ' court' an ascertainable meaning in English law.",Argument,0
278,"The word cannot have the popular meaning of a Court of justice, for obviously a tribunal contemplated by article 136 is an authority other than a regular Court of justice.",Argument,0
279,I think that the context of article  136 supplies the proper meaning of this word.,Argument,0
280,Article 136 concerns the regulation of the judicial power of the State vested in the Courts and other authorities.,Argument,1
281,The great purpose of article 136 is the recognition of the basic principle that one Court having supreme judicial power in the Republic will have appellate power over all Courts and adjudicating authorities vested with the judicial powers of the State throughout the territory of India barring those constituted by or under any law relating to the Armed Forces.,Argument,0
282,"In this background, the basic test of a tribunal within the meaning of article 136 is that it is an adjudicating authority (other than a Court) vested with the judicial powers of the State.",Argument,1
283,I think that an the decided cases substantially lay down this test.,Argument,0
284,"Speaking on behalf of a unanimous Court in Durga Shankar Mehta vs Thakur Raghurai Singh and others (2) , B.  K.  Mukherjea, J.  said :  "" It is now well settled by the majority decision of this Court in the case of Bharat Bank limited vs Employees of the Bharat Bank limited ("") that the expression 'Tribunal' as used in article 136 does not mean the same thing as 'Court' but includes, within its ambit, all adjudicating bodies, provided they are constituted by the State and are invested with judicial as distinguished from purely administrative or executive functions. """,Argument,0
285,"According to this test, the adjudicating body must be constituted by the State and be vested with judicial functions.",Argument,1
286,"In other decided cases, other learned Judges conveyed the same idea in a somewhat different form; they have said that in order to be a tribunal, the body must be ""invested with . part of the judicial functions of the State"", ""delegates of the judicial power of the State"", ""invested with the State's inherent judicial powers"", "" exercise judicial powers of the State. """,Argument,1
287,"(1) [1892] 1 C. B. 431,446.",Argument,0
288,"(2) [1955] supreme court reporter 267, 272. (3) [1950] INSC 20; [1950] supreme court reporter 459. ~3Sup.",Argument,0
289,"/65-9 392 Now, the expression ""judicial power of the State"" is not to be found in our Constitution.",Argument,0
290,We have borrowed this expression from the Australian law.,Argument,0
291,"By article 71 of the Australian Constitution, ""the judicial power of the Commonwealth"" is vested in the Courts therein mentioned, and no other body or tribunal can exercise that power.",Argument,0
292,"The Australian cases try to soften the rigour of this prohibition by giving a somewhat narrow construction to the expression ""judicial power of the Commonwealth"".",Argument,0
293,"Thus, they hold that an arbitral power in relation to industrial disputes to ascertain and declare what in the opinion of the arbitrator are to be the respective rights and liabilities of the parties in relation to each other is not to be regarded as a judicial power of the Commonwealth within article  71 of the Australian Constitution.",Argument,0
294,"See Waterside Workers Federation vs Alexander(), Attorney-General of Australia vs   Reginam (2) .",Argument,0
295,"But our case law does not use the expression ""judicial power of the State"" in the same narrow sense while giving the test of a tribunal under article 136 of the Consti tution.",Argument,0
296,"Thus, the case of Bharat Bank limited vs Employees of the Bharat Bank limited ("") decided that an industrial tribunal is vested with the judicial functions of the State and is thus a tribunal within article 136.",Argument,0
297,"In our Country, the State (using that expression in the comprehensive sense of the Union and its component States) has inherent judicial powers or functions and the Courts and other authorities vested by State with judicial functions are regarded as delegates of the State judicial powers.",Argument,1
298,"Unlike Australia, in our country the judicial power of the State may be vested not only in Courts but also in other authorities.",Argument,0
299,The Courts alone have no monopoly of this judicial power.,Argument,1
300,An authority other than a Court vested with the judicial power of the State in this sense is regarded as a tribunal within article 136.,Ratio of the decision,1
301,"In Shell company of Australia vs Federal Commissioner of Taxa tion (4) (a case coming from Australia), Lord Sankey, L.  C.   said that ""there are tribunals with many of the trappings of a court which, nevertheless, are not courts in the strict sense of exercising judicial power. """,Ratio of the decision,0
302,"The Lord Chancellor was obviously pointing out that a tribunal possessing one or more of the trappings of a Court was not necessarily a Court exercising the judicial power of the Commonwealth a. -, contemplated by article 71 of the Australian Constitution.",Ratio of the decision,0
303,But it does not follow that the investiture of some or many of the trappings of a Court is an essential attribute of a tribunal contemplated by article 136.,Ratio of the decision,1
304,"Nevertheless, our concept (1) [1918] HCA 56; [1918] 25 C. L. R.  434, 463. (2) (1957] 2 All. 13. R.  45,50 P. C.   (3) [1950] INSC 20; [1950] supreme court reporter 459. (4) [1931] A. C.   275, 296. 393 of a tribunal has been somehow coloured by Lord Sankey's idea of a tribunal with the trappings of a Court.",Ratio of the decision,0
305,In Bharat Bank Ltdl.,Statute,0
306,"vs Employees of Bharat Bank Ltd(1), Mahajan, J.   said that article 136 includes within its scope ""tribunals adorned with similar trappings as Court but strictly not coming within that definition. """,Statute,0
307,"In Jaswant Sugar Mills limited , Meerut vs Lakshmichand(2), Shah, J.  said that in deciding whether an authority may be regarded as a tribunal, though not a Court, ""the principal incident is the investiture of the 'trappings of a court'. """,Statute,0
308,"In Engineering Mazdoor Sabha vs   Hind Cycles limited , Bombay(), Gajendragadkar, J. (as he then was) said that in determining ""whether a particular body or authority is a tribunal or not, sometimes a rough and ready test is applied by enquiring whether the said body or authority is clothed with the trappings of a court"", but he added that ""apart from the trappings of a Court, the basic and essential condition which makes an authority or a body a tribunal under article 136, is that it should be constituted by the State and should be invested with the State's inherent judicial power. """,Statute,0
309,Similar observations were made by the same learned Judge in Indo-China Steam Navigation company vs Jasjit Singh(4).,Statute,0
310,"In trying to find out whether a body is a tribunal within the meaning -of article 136, it is natural to consider whether the body has some of the trappings of the Court.",Statute,0
311,"If it has one or more of such trappings, it may be easier to pronounce the body to be a tribunal.",Statute,0
312,But we must not forget that the investiture of the trappings of a Court is not an essential attribute of a tribunal.,Ratio of the decision,1
313,The basic test of a tribunal is that it is a body vested with the judicial power of the State.,Ratio of the decision,1
314,"Unless this basic concept is borne in mind, the trappings of a Court may well become a trap and a snare for the unwary.",Ratio of the decision,0
315,"The limitations as also the full amplitude of the meaning of the word ""tribunal"" are thus to be found on a consideration of article 1 3 6 in all its parts, with such aid as may be derived from other Articles of the Constitution.",Argument,0
316,The context of article 136 and the constitutional background impose the limitation that the tribunal must be an adjudicating authority vested with the judicial power of the State.,Argument,1
317,"Barring this limitation, the word must receive a wide and liberal construction.",Argument,0
318,"The basic principle of article 136 is that if a litigant feels that injustice has been done by a Court or any other body charged with the administration of justice, there is one superior Court he may always approach and which, in its discretion, may give him special leave to appeal so that justice may be done.",Argument,0
319,The plenitude of the residuary appellate power under (1) [1950] INSC 20; [1950] supreme court reporter 459. (2) [19631 Supp.,Argument,0
320,"1 supreme court reporter 242,260.",Argument,0
321,(3) [19631 Supp.,Argument,0
322,"I supreme court reporter 625 at 631,633,641.",Argument,0
323,"(4) [1964] INSC 26; [1964] 6 supreme court reporter 594. 394 article 136 embraces within its scope all adjudicating authorities vested with the judicial power of the State, whether or not such authorities have the trappings of a Court.",Ratio of the decision,1
324,"An authority other than a Court may be vested by statute with judicial power in widely different circumstances, which it would be impossible and indeed inadvisable to attempt to define exhaustively.",Ratio of the decision,0
325,"The proper thing is to examine each case as it arises, and to ascertain whether the powers vested in the authority can be truly described as judicial functions or judicial powers of the State.",Ratio of the decision,0
326,"For the purpose of this case, it is sufficient to say that any outside authority empowered by the State to determine conclusively the rights of two or more contending parties with regard to any matter in controversy between them satisfies the test of an authority vested with the judicial powers of the State and may be regarded as a tribunal within the meaning of article  136.",Ratio of the decision,1
327,Such a power of adjudication implies that the authority must act judicially and must determine the dispute by ascertainment of the relevant facts on the materials before it and by application of the relevant law to those facts.,Argument,1
328,"This test of a tribunal is not meant to be exhaustive, and it may be that other bodies not satisfying this test are also tribunals.",Argument,0
329,"In order to be a tribunal, it is essential that the power of adjudication must be derived from a statute or a statutory rule.",Argument,1
330,"An authority or body deriving its power of adjudication from an agreement of the parties, such as a private arbitrator or a tribunal acting under section 10-A of the Industrial Disputes Act, 1947, does not satisfy the test of a tribunal within article 136.",Ratio of the decision,0
331,It matters little that such a body or authority is vested with the trappings of a Court.,Ratio of the decision,0
332,"The Arbitration Act, 1940 vests an arbitrator with some of the trappings of a Court, so also the Industrial Disputes Act, 1947 vests an authority acting under section 10-A of the Act with many of such trappings, and yet, such bodies and authorities are not tribunals.",Ratio of the decision,0
333,"The word ""tribunal"" finds place in article 227 of the Constitu tion also, and I think that there also the word has the same meaning as in article 136.",Ruling by Present Court,0
334,"Now, the question is whether the State Government deciding an appeal under R.  6(6) of the Punjab Welfare Officers Recruitment and Conditions of Service Rules, 1952 (hereafter referred to as the Service Rules) is a tribunal within the meaning of article 136 of the Constitution.",Ruling by Present Court,1
335,"The State Government made the Service Rules in exercise of its rule making power under section 112 read with section 49(2) of the Factories Act, 1947.",Ruling by Present Court,0
336,The Service Rules relate to 395 the qualifications and conditions of service of a Welfare Officer in a factory and are well within the rule-making power.,Ruling by Present Court,0
337,Rule 6 of the Service Rules prescribes the conditions of service of a Welfare Officer.,Ruling by Present Court,1
338,"Sub-rules (1) and (2) of R.  6 provide that the Welfare Officer must have the appropriate status corresponding to the status of other executive heads of the factory, and his conditions of service shall be the same as of other members of the staff of corresponding status in the factory.",Ruling by Present Court,0
339,"Sub-rule (3) ,empowers the management to impose on the Welfare Officer one or more of the following punishments, videlicet , (i) Censure;  (ii) Withholding of increments including stoppage at an efficiency bar; (iii) reduction to a lower stage in a time scale; (iv) suspension; and (v) dismissal or termination of service in any other manner.",Ruling by Present Court,0
340,The first proviso to sub-rule (3) provides that no order of punishment shall be passed against the Welfare Officer unless he has been informed of the grounds on which it is proposed to take action and given a reasonable opportunity of defending himself against the action proposed to be taken in regard to him.,Ruling by Present Court,0
341,"The second proviso to sub-r.  (3) imposes the further safeguard that the management cannot impose any punishment on him other than censure except with the previous concurrence of the Labour Commissioner, Punjab.",Ruling by Present Court,0
342,"Sub-rule (4) provides that before passing orders on a reference under the last proviso, the Labour Commissioner shall give the Welfare Officer an opportunity of showing cause against the proposed action, and, if necessary, may hear the parties in per-on.",Ruling by Present Court,0
